i,s,n,r
1,BTC,Bitcoin,1,
1027,ETH,Ethereum,2,
825,USDT,Tether,3,
1839,BNB,Binance Coin,4,
2010,ADA,Cardano,5,
52,XRP,XRP,6,
74,DOGE,Dogecoin,7,
3408,USDC,USD Coin,8,
6636,DOT,Polkadot,9,
7083,UNI,Uniswap,10,
4687,BUSD,Binance USD,11,
1831,BCH,Bitcoin Cash,12,
5426,SOL,Solana,13,
2,LTC,Litecoin,14,
1975,LINK,Chainlink,15,
3717,WBTC,Wrapped Bitcoin,16,
3890,MATIC,Polygon,17,
2416,THETA,THETA,18,
1321,ETC,Ethereum Classic,19,
512,XLM,Stellar,20,
4943,DAI,Dai,21,
8916,ICP,Internet Computer,22,
3077,VET,VeChain,23,
2280,FIL,Filecoin,24,
1958,TRX,TRON,25,
328,XMR,Monero,26,
1765,EOS,EOS,27,
7278,AAVE,Aave,28,
4172,LUNA,Terra,29,
5994,SHIB,SHIBA INU,30,
3635,CRO,Crypto.com Coin,31,
3794,ATOM,Cosmos,32,
7186,CAKE,PancakeSwap,33,
4195,FTT,FTX Token,34,
3957,LEO,UNUS SED LEO,35,
4030,ALGO,Algorand,36,
1518,MKR,Maker,37,
3602,BSV,Bitcoin SV,38,
4023,BTCB,Bitcoin BEP2,39,
1376,NEO,Neo,40,
4256,KLAY,Klaytn,41,
5692,COMP,Compound,42,
2011,XTZ,Tezos,43,
6945,AMP,Amp,44,
1720,MIOTA,IOTA,45,
5805,AVAX,Avalanche,46,
6719,GRT,The Graph,47,
7129,UST,TerraUSD,48,
3822,TFUEL,Theta Fuel,49,
5034,KSM,Kusama,50,
1168,DCR,Decred,51,
6892,EGLD,Elrond,52,
3718,BTT,BitTorrent,53,
2502,HT,Huobi Token,54,
4066,CHZ,Chiliz,55,
1274,WAVES,Waves,56,
4642,HBAR,Hedera Hashgraph,57,
2700,CEL,Celsius,58,
2563,TUSD,TrueUSD,59,
4157,RUNE,THORChain,60,
4847,STX,Stacks,61,
1437,ZEC,Zcash,62,
131,DASH,Dash,63,
2586,SNX,Synthetix,64,
1966,MANA,Decentraland,65,
5864,YFI,yearn.finance,66,
2634,XDC,XinFin Network,67,
5665,HNT,Helium,68,
6783,AXS,Axie Infinity,69,
2130,ENJ,Enjin Coin,70,
873,XEM,NEM,71,
6758,SUSHI,SushiSwap,72,
2087,KCS,KuCoin Token,73,
2682,HOT,Holo,74,
2394,TEL,Telcoin,75,
3155,QNT,Quant,76,
3330,PAX,Paxos Standard,77,
2694,NEXO,Nexo,78,
3945,ONE,Harmony,79,
8335,MDX,Mdex,80,
6535,NEAR,NEAR Protocol,81,
1697,BAT,Basic Attention Token,82,
2469,ZIL,Zilliqa,83,
2083,BTG,Bitcoin Gold,84,
5567,CELO,Celo,85,
1727,BNT,Bancor,86,
4558,FLOW,Flow,87,
1896,ZRX,0x,88,
1698,ZEN,Horizen,89,
2135,REV,Revain,90,
6538,CRV,Curve DAO Token,91,
1684,QTUM,Qtum,92,
1042,SC,Siacoin,93,
2499,CHSB,SwissBorg,94,
2566,ONT,Ontology,95,
109,DGB,DigiByte,96,
2099,ICX,ICON,97,
3897,OKB,OKB,98,
1567,NANO,Nano,99,
3513,FTM,Fantom,100,
4779,HUSD,HUSD,101,
1808,OMG,OMG Network,102,
5617,UMA,UMA,103,
7064,BAKE,BakeryToken,104,
3783,ANKR,Ankr,105,
1817,VGX,Voyager Token,106,
2577,RVN,Ravencoin,107,
8104,1INCH,1inch,108,
5068,USDN,Neutrino USD,109,
2222,BCD,Bitcoin Diamond,110,
5777,RENBTC,renBTC,111,
2539,REN,Ren,112,
6210,SAND,The Sandbox,113,
5632,AR,Arweave,114,
2405,IOST,IOST,115,
693,XVG,Verge,116,
3640,LPT,Livepeer,117,
1455,GLM,Golem,118,
1214,LSK,Lisk,119,
5161,WRX,WazirX,120,
3964,RSR,Reserve Rights,121,
1982,KNC,Kyber Network Crystal Legacy,122,
4846,KAVA,Kava.io,123,
291,MAID,MaidSafeCoin,124,
4948,CKB,Nervos Network,125,
3306,GUSD,Gemini Dollar,126,
1934,LRC,Loopring,127,
5691,SKL,SKALE Network,128,
3673,BTMX,ASD,129,
4206,WIN,WINkLink,130,
1659,GNO,Gnosis,131,
1772,STORJ,Storj,132,
3911,OCEAN,Ocean Protocol,133,
4269,GT,GateToken,134,
7501,WOO,Wootrade,135,
1637,RLC,iExec RLC,136,
7232,ALPHA,Alpha Finance Lab,137,
4679,BAND,Band Protocol,138,
3012,VTHO,VeThor Token,139,
1759,SNT,Status,140,
5117,OGN,Origin Protocol,141,
1886,DENT,Dent,142,
3773,FET,Fetch.ai,143,
2758,UBT,Unibright,144,
2300,WAXP,WAX,145,
8646,MINA,Mina,146,
5026,OXT,Orchid,147,
1343,STRAX,Stratis,148,
4120,PROM,Prometeus,149,
8891,BTCST,Bitcoin Standard Hashrate Token,150,
7334,CFX,Conflux Network,151,
3217,ONG,Ontology Gas,152,
7226,INJ,Injective Protocol,153,
2570,TOMO,TomoChain,154,
1762,ERG,Ergo,155,
7288,XVS,Venus,156,
2424,AGIX,SingularityNET,157,
6951,REEF,Reef,158,
2297,STMX,StormX,159,
2777,IOTX,IoTeX,160,
2273,UQC,Uquid Coin,161,
4279,SXP,Swipe,162,
2868,DAG,Constellation,163,
1552,MLN,Enzyme,164,
1104,REP,Augur,165,
2982,MVL,MVL,166,
1757,FUN,FUNToken,167,
1732,NMR,Numeraire,168,
1816,CVC,Civic,169,
5268,EWT,Energy Web Token,170,
3835,ORBS,Orbs,171,
1776,MCO,MCO,172,
5444,CTSI,Cartesi,173,
3814,CELR,Celer Network,174,
1320,ARDR,Ardor,175,
6187,SRM,Serum,176,
1230,STEEM,Steem,177,
4761,NU,NuCypher,178,
8202,ZKS,ZKSwap,179,
2780,NKN,NKN,180,
5728,BAL,Balancer,181,
1680,ANT,Aragon,182,
6841,PHA,Phala Network,183,
3437,ABBC,ABBC Coin,184,
4189,UOS,Ultra,185,
3351,ZB,ZB Token,186,
3418,META,Metadium,187,
2303,MED,MediBloc,188,
5370,HIVE,Hive,189,
1586,ARK,Ark,190,
463,BTS,BitShares,191,
4056,AMPL,Ampleforth,192,
3701,RIF,RSK Infrastructure Framework,193,
2930,IQ,Everipedia,194,
3748,HXRO,Hxro,195,
8911,STRK,Strike,196,
8766,ALICE,MyNeighborAlice,197,
5488,JST,JUST,198,
2496,POLY,Polymath,199,
7224,DODO,DODO,200,
5015,HEX,HEX,201,
3873,BOTX,botXcoin,202,
7192,WBNB,Wrapped BNB,203,
8642,FEI,Fei Protocol,204,
5075,EGR,Egoras,205,
5482,CCXX,Counos X,206,
8757,SAFEMOON,SafeMoon,207,
5198,CTC,Creditcoin,208,
6941,HBTC,Huobi BTC,209,
8085,STETH,stETH (Lido),210,
5514,TTT,The Transfer Token,211,
3085,INO,INO COIN,212,
9566,LUSD,Liquity USD,213,
268,XWC,WhiteCoin,214,
5804,DFI,DeFiChain,215,
8677,XYM,Symbol,216,
7961,vBNB,Venus BNB,217,
6432,OMI,ECOMI,218,
5830,NXM,NXM,219,
5614,ZLW,Zelwin,220,
7686,BCHA,Bitcoin Cash ABC,221,
7206,TITAN,TitanSwap,222,
4361,BEST,Bitpanda Ecosystem Token,223,
6950,PERP,Perpetual Protocol,224,
3951,ARRR,Pirate Chain,225,
3662,HEDG,HedgeTrade,226,
7321,YOUC,yOUcash,227,
5326,ORC,Orbit Chain,228,
372,BCN,Bytecoin,229,
7857,MIR,Mirror Protocol,230,
9040,PUNDIX,Pundi X[new],231,
2927,SUSD,sUSD,232,
1004,HNC,HNC COIN,233,
7281,XPRT,Persistence,234,
6952,FRAX,Frax,235,
5618,DAWN,Dawn Protocol,236,
7431,AKT,Akash Network,237,
5185,KOK,KOK,238,
5279,SOLO,Sologenic,239,
8857,ANC,Anchor Protocol,240,
8526,RAY,Raydium,241,
5796,DRS,Doctors Coin,242,
8296,KSP,KLAYswap Protocol,243,
6724,KLV,Klever,244,
5631,ORN,Orion Protocol,245,
5566,KEEP,Keep Network,246,
9025,TRIBE,Tribe,247,
9020,TKO,Toko Token,248,
9421,FORTH,Ampleforth Governance Token,249,
7962,vBTC,Venus BTC,250,
7102,LINA,Linear,251,
4121,SAPP,Sapphire,252,
5625,LYXe,LUKSO,253,
5616,MATH,MATH,254,
5908,DKA,dKargo,255,
2444,C20,CRYPTO20,256,
2606,WAN,Wanchain,257,
2137,ETN,Electroneum,258,
4705,PAXG,PAX Gold,259,
3441,DIVI,Divi,260,
2299,ELF,aelf,261,
2989,EURS,STASIS EURO,262,
7440,BOND,BarnBridge,263,
1107,PAC,PAC Protocol,264,
5453,KAI,KardiaChain,265,
1789,PPT,Populous,266,
3801,BORA,BORA,267,
8083,LON,Tokenlon Network Token,268,
2943,RPL,Rocket Pool,269,
4890,NWC,Newscrypto,270,
2776,AVA,Travala.com,271,
1788,MTL,Metal,272,
7455,AUDIO,Audius,273,
5060,XNC,XeniosCoin,274,
6193,CREAM,Cream Finance,275,
7653,ROSE,Oasis Network,276,
8075,RLY,Rally,277,
2840,QKC,QuarkChain,278,
5939,WNXM,Wrapped NXM,279,
10529,SUN,Sun (New),280,
1521,KMD,Komodo,281,
7958,vUSDC,Venus USDC,282,
3795,ZEON,ZEON,283,
5824,SLP,Small Love Potion,284,
2467,TRAC,OriginTrail,285,
2320,UTK,Utrust,286,
2585,CENNZ,Centrality,287,
7692,EXRD,Radix,288,
8613,ALCX,Alchemix,289,
5690,RNDR,Render Token,290,
3884,FX,Function X,291,
7059,MBN,Mobilian Coin,292,
4747,VLX,Velas,293,
9119,TLM,Alien Worlds,294,
10052,GTC,Gitcoin,295,
7859,BADGER,Badger DAO,296,
213,MONA,MonaCoin,297,
2143,DATA,Streamr,298,
1866,BTM,Bytom,299,
7963,vETH,Venus ETH,300,
3977,SNL,Sport and Leisure,301,
7824,VAI,Vai,302,
7208,POLS,Polkastarter,303,
5072,RKN,Rakon,304,
5947,TPT,TokenPocket,305,
7960,vXVS,Venus XVS,306,
5957,YFII,DFI.Money,307,
3992,COTI,COTI,308,
3968,EUM,Elitium,309,
8029,OXY,Oxygen,310,
1993,KIN,Kin,311,
5221,HNS,Handshake,312,
3936,GNY,GNY,313,
2132,POWR,Power Ledger,314,
7882,WOZX,EFFORCE,315,
2896,MFT,Hifi Finance,316,
4191,NOIA,Syntropy,317,
5113,SURE,inSure DeFi,318,
6957,ALBT,AllianceBlock,319,
4268,NYE,NewYork Exchange,320,
5964,TWT,Trust Wallet Token,321,
3874,IRIS,IRISnet,322,
8119,SFP,SafePal,323,
7978,FIDA,Bonfida,324,
2665,DERO,Dero,325,
2643,DVPN,Sentinel,326,
5604,SCRT,Secret,327,
1856,DNT,district0x,328,
541,SYS,Syscoin,329,
8206,QUICK,QuickSwap,330,
3978,CHR,Chromia,331,
5829,SWAP,TrustSwap,332,
5899,CSPR,Casper,333,
10188,ATA,Automata Network,334,
8615,ERN,Ethernity Chain,335,
2021,REV,RChain,336,
5007,TROY,TROY,337,
2319,QC,Qcash,338,
5266,MLK,MiL.k,339,
5354,PEAK,PEAKDEFI,340,
5552,HTR,Hathor,341,
2662,XHV,Haven Protocol,342,
7654,RFOX,RedFOX Labs,343,
3628,MXC,MXC,344,
7883,WELL,WELL,345,
7311,BIFI,Beefy.Finance,346,
3742,BNANA,Chimpion,347,
3626,RBTC,RSK Smart Bitcoin,348,
2866,UPP,Sentinel Protocol,349,
2765,XYO,XYO,350,
4944,TRB,Tellor,351,
3581,PNK,Kleros,352,
3946,CRE,Carry,353,
5802,XOR,Sora,354,
4078,SERO,Super Zero Protocol,355,
8420,DAO,DAO Maker,356,
5622,DMCH,Darma Cash,357,
7157,BASID,Basid Coin,358,
4134,AKRO,Akropolis,359,
