i,s,n,r
1,BTC,Bitcoin,1,
1027,ETH,Ethereum,2,
2010,ADA,Cardano,3,
1839,BNB,Binance Coin,4,
825,USDT,Tether,5,
52,XRP,XRP,6,
74,DOGE,Dogecoin,7,
3408,USDC,USD Coin,8,
6636,DOT,Polkadot,9,
5426,SOL,Solana,10,
7083,UNI,Uniswap,11,
4172,LUNA,Terra,12,
1831,BCH,Bitcoin Cash,13,
4687,BUSD,Binance USD,14,
1975,LINK,Chainlink,15,
2,LTC,Litecoin,16,
3890,MATIC,Polygon,17,
8916,ICP,Internet Computer,18,
3717,WBTC,Wrapped Bitcoin,19,
5805,AVAX,Avalanche,20,
512,XLM,Stellar,21,
1321,ETC,Ethereum Classic,22,
3077,VET,VeChain,23,
2280,FIL,Filecoin,24,
2416,THETA,THETA,25,
1958,TRX,TRON,26,
4943,DAI,Dai,27,
328,XMR,Monero,28,
7186,CAKE,PancakeSwap,29,
1765,EOS,EOS,30,
7278,AAVE,Aave,31,
4195,FTT,FTX Token,32,
6719,GRT,The Graph,33,
3794,ATOM,Cosmos,34,
6783,AXS,Axie Infinity,35,
4256,KLAY,Klaytn,36,
1376,NEO,Neo,37,
3635,CRO,Crypto.com Coin,38,
4023,BTCB,Bitcoin BEP2,39,
4030,ALGO,Algorand,40,
1518,MKR,Maker,41,
2011,XTZ,Tezos,42,
1720,MIOTA,IOTA,43,
3602,BSV,Bitcoin SV,44,
5994,SHIB,SHIBA INU,45,
3718,BTT,BitTorrent,46,
3957,LEO,UNUS SED LEO,47,
6892,EGLD,Elrond,48,
131,DASH,Dash,49,
6945,AMP,Amp,50,
1274,WAVES,Waves,51,
5034,KSM,Kusama,52,
4642,HBAR,Hedera Hashgraph,53,
4157,RUNE,THORChain,54,
5692,COMP,Compound,55,
2502,HT,Huobi Token,56,
6535,NEAR,NEAR Protocol,57,
7129,UST,TerraUSD,58,
1168,DCR,Decred,59,
5665,HNT,Helium,60,
4066,CHZ,Chiliz,61,
3155,QNT,Quant,62,
2634,XDC,XinFin Network,63,
1437,ZEC,Zcash,64,
2682,HOT,Holo,65,
873,XEM,NEM,66,
3822,TFUEL,Theta Fuel,67,
4847,STX,Stacks,68,
2130,ENJ,Enjin Coin,69,
6758,SUSHI,SushiSwap,70,
1966,MANA,Decentraland,71,
2586,SNX,Synthetix,72,
5864,YFI,yearn.finance,73,
2563,TUSD,TrueUSD,74,
2394,TEL,Telcoin,75,
2700,CEL,Celsius,76,
2577,RVN,Ravencoin,77,
2469,ZIL,Zilliqa,78,
4558,FLOW,Flow,79,
1684,QTUM,Qtum,80,
3513,FTM,Fantom,81,
3897,OKB,OKB,82,
1697,BAT,Basic Attention Token,83,
2083,BTG,Bitcoin Gold,84,
3945,ONE,Harmony,85,
7455,AUDIO,Audius,86,
2694,NEXO,Nexo,87,
2087,KCS,KuCoin Token,88,
1042,SC,Siacoin,89,
109,DGB,DigiByte,90,
1727,BNT,Bancor,91,
2566,ONT,Ontology,92,
6950,PERP,Perpetual Protocol,93,
2499,CHSB,SwissBorg,94,
2099,ICX,ICON,95,
8335,MDX,Mdex,96,
3330,PAX,Paxos Standard,97,
5632,AR,Arweave,98,
1896,ZRX,0x,99,
1808,OMG,OMG Network,100,
2135,REV,Revain,101,
6538,CRV,Curve DAO Token,102,
1567,NANO,Nano,103,
1698,ZEN,Horizen,104,
5567,CELO,Celo,105,
5617,UMA,UMA,106,
1817,VGX,Voyager Token,107,
3783,ANKR,Ankr,108,
4279,SXP,Swipe,109,
2777,IOTX,IoTeX,110,
1886,DENT,Dent,111,
5777,RENBTC,renBTC,112,
2405,IOST,IOST,113,
4846,KAVA,Kava.io,114,
3964,RSR,Reserve Rights,115,
1934,LRC,Loopring,116,
8646,MINA,Mina,117,
2539,REN,Ren,118,
8104,1INCH,1inch,119,
3911,OCEAN,Ocean Protocol,120,
1214,LSK,Lisk,121,
2300,WAXP,WAX,122,
6210,SAND,The Sandbox,123,
1762,ERG,Ergo,124,
7064,BAKE,BakeryToken,125,
4206,WIN,WINkLink,126,
5161,WRX,WazirX,127,
693,XVG,Verge,128,
2222,BCD,Bitcoin Diamond,129,
3012,VTHO,VeThor Token,130,
4779,HUSD,HUSD,131,
5068,USDN,Neutrino USD,132,
2868,DAG,Constellation,133,
1455,GLM,Golem,134,
3640,LPT,Livepeer,135,
2303,MED,MediBloc,136,
1732,NMR,Numeraire,137,
1772,STORJ,Storj,138,
4948,CKB,Nervos Network,139,
7232,ALPHA,Alpha Finance Lab,140,
5691,SKL,SKALE Network,141,
8642,FEI,Fei Protocol,142,
2758,UBT,Unibright,143,
1659,GNO,Gnosis,144,
1637,RLC,iExec RLC,145,
3773,FET,Fetch.ai,146,
5268,EWT,Energy Web Token,147,
3217,ONG,Ontology Gas,148,
5117,OGN,Origin Protocol,149,
7226,INJ,Injective Protocol,150,
8766,ALICE,MyNeighborAlice,151,
7288,XVS,Venus,152,
1757,FUN,FUNToken,153,
1759,SNT,Status,154,
4269,GT,GateToken,155,
6187,SRM,Serum,156,
3673,BTMX,ASD,157,
4679,BAND,Band Protocol,158,
4705,PAXG,PAX Gold,159,
7501,WOO,WOO Network,160,
2780,NKN,NKN,161,
4120,PROM,Prometeus,162,
6951,REEF,Reef,163,
2297,STMX,StormX,164,
1343,STRAX,Stratis,165,
1104,REP,Augur,166,
2570,TOMO,TomoChain,167,
5444,CTSI,Cartesi,168,
5026,OXT,Orchid,169,
1320,ARDR,Ardor,170,
3814,CELR,Celer Network,171,
8891,BTCST,Bitcoin Standard Hashrate Token,172,
2071,REQ,Request,173,
7334,CFX,Conflux Network,174,
3992,COTI,COTI,175,
291,MAID,MaidSafeCoin,176,
2424,AGIX,SingularityNET,177,
1816,CVC,Civic,178,
7859,BADGER,Badger DAO,179,
3835,ORBS,Orbs,180,
7224,DODO,DODO,181,
2982,MVL,MVL,182,
1230,STEEM,Steem,183,
1993,KIN,Kin,184,
6841,PHA,Phala Network,185,
4189,UOS,Ultra,186,
5824,SLP,Smooth Love Potion,187,
5370,HIVE,Hive,188,
2496,POLY,Polymath,189,
4761,NU,NuCypher,190,
1680,ANT,Aragon,191,
5728,BAL,Balancer,192,
2320,UTK,Utrust,193,
1788,MTL,Metal,194,
8911,STRK,Strike,195,
3801,BORA,BORA,196,
8202,ZKS,ZKSwap,197,
3701,RIF,RSK Infrastructure Framework,198,
2299,ELF,aelf,199,
3306,GUSD,Gemini Dollar,200,
5015,HEX,HEX,201,
7192,WBNB,Wrapped BNB,202,
8085,STETH,stETH (Lido),203,
5198,CTC,Creditcoin,204,
6941,HBTC,Huobi BTC,205,
5482,CCXX,Counos X,206,
7686,BCHA,Bitcoin Cash ABC,207,
10791,XEC,eCash,208,
5514,TTT,The Transfer Token,209,
5075,EGR,Egoras,210,
7321,YOUC,yOUcash,211,
8757,SAFEMOON,SafeMoon,212,
3085,INO,INO COIN,213,
5804,DFI,DeFiChain,214,
8677,XYM,Symbol,215,
7961,vBNB,Venus BNB,216,
5830,NXM,NXM,217,
268,XWC,WhiteCoin,218,
3951,ARRR,Pirate Chain,219,
9566,LUSD,Liquity USD,220,
10903,C98,Coin98,221,
10688,YGG,Yield Guild Games,222,
5326,ORC,Orbit Chain,223,
5614,ZLW,Zelwin,224,
6432,OMI,ECOMI,225,
9040,PUNDIX,Pundi X[new],226,
8526,RAY,Raydium,227,
7817,BFC,Bifrost (BFC),228,
4361,BEST,Bitpanda Ecosystem Token,229,
7206,TITAN,TitanSwap,230,
6958,ACH,Alchemy Pay,231,
9444,KNC,Kyber Network Crystal v2,232,
9025,TRIBE,Tribe,233,
3662,HEDG,HedgeTrade,234,
11221,BIT,BitDAO,235,
8857,ANC,Anchor Protocol,236,
372,BCN,Bytecoin,237,
2927,SUSD,sUSD,238,
7857,MIR,Mirror Protocol,239,
2137,ETN,Electroneum,240,
5618,DAWN,Dawn Protocol,241,
8719,ILV,Illuvium,242,
7281,XPRT,Persistence,243,
5631,ORN,Orion Protocol,244,
6952,FRAX,Frax,245,
9119,TLM,Alien Worlds,246,
5185,KOK,KOK,247,
8497,BANANA,ApeSwap Finance,248,
9020,TKO,Toko Token,249,
7102,LINA,Linear,250,
7431,AKT,Akash Network,251,
5964,TWT,Trust Wallet Token,252,
5566,KEEP,Keep Network,253,
8938,EPS,Ellipsis,254,
8206,QUICK,QuickSwap,255,
5690,RNDR,Render Token,256,
8615,ERN,Ethernity Chain,257,
6957,ALBT,AllianceBlock,258,
7080,GALA,Gala,259,
7962,vBTC,Venus BTC,260,
4121,SAPP,Sapphire,261,
8384,CLV,Clover Finance,262,
7461,PLA,PlayDapp,263,
5279,SOLO,Sologenic,264,
5796,DRS,Doctors Coin,265,
8707,ALPACA,Alpaca Finance,266,
6843,RAD,Radicle,267,
5908,DKA,dKargo,268,
1586,ARK,Ark,269,
463,BTS,BitShares,270,
8037,TVK,Terra Virtua Kolect,271,
2943,RPL,Rocket Pool,272,
2444,C20,CRYPTO20,273,
5625,LYXe,LUKSO,274,
11294,RARE,SuperRare,275,
2273,UQC,Uquid Coin,276,
3418,META,Metadium,277,
6724,KLV,Klever,278,
4842,FLG,Folgory Coin,279,
2606,WAN,Wanchain,280,
5957,YFII,DFI.Money,281,
8536,MASK,Mask Network,282,
5126,SOC,Soda Coin,283,
5899,CSPR,Casper,284,
1552,MLN,Enzyme,285,
2665,DERO,Dero,286,
5488,JST,JUST,287,
3978,CHR,Chromia,288,
7978,FIDA,Bonfida,289,
2930,IQ,Everipedia,290,
8119,SFP,SafePal,291,
10529,SUN,Sun (New),292,
4890,NWC,Newscrypto,293,
2776,AVA,Travala.com,294,
7960,vXVS,Venus XVS,295,
8075,RLY,Rally,296,
7653,ROSE,Oasis Network,297,
1776,MCO,MCO,298,
9175,MBOX,MOBOX,299,
5616,MATH,MATH,300,
2132,POWR,Powerledger,301,
541,SYS,Syscoin,302,
5453,KAI,KardiaChain,303,
9903,CVX,Convex Finance,304,
9421,FORTH,Ampleforth Governance Token,305,
6679,WHALE,WHALE,306,
5552,HTR,Hathor,307,
5877,RARI,Rarible,308,
1521,KMD,Komodo,309,
6833,LIT,Litentry,310,
7208,POLS,Polkastarter,311,
3351,ZB,ZB Token,312,
5829,SWAP,TrustSwap,313,
4566,XDB,DigitalBits,314,
6859,FARM,Harvest Finance,315,
2840,QKC,QuarkChain,316,
3816,VRA,Verasity,317,
8296,KSP,KLAYswap Protocol,318,
4807,CTK,CertiK,319,
8000,LDO,Lido DAO Token,320,
5072,RKN,Rakon,321,
3437,ABBC,ABBC Coin,322,
4191,NOIA,Syntropy,323,
5947,TPT,TokenPocket,324,
1789,PPT,Populous,325,
7963,vETH,Venus ETH,326,
3977,SNL,Sport and Leisure,327,
10897,ALT,Alitas,328,
2896,MFT,Hifi Finance,329,
2143,DATA,Streamr,330,
3748,HXRO,Hxro,331,
2467,TRAC,OriginTrail,332,
7046,GHST,Aavegotchi,333,
3874,IRIS,IRISnet,334,
7463,RAMP,RAMP,335,
10052,GTC,Gitcoin,336,
6651,USDX,USDX [Kava],337,
1866,BTM,Bytom,338,
7440,BOND,BarnBridge,339,
5810,BZRX,bZx Protocol,340,
5604,SCRT,Secret,341,
4056,AMPL,Ampleforth,342,
5939,WNXM,Wrapped NXM,343,
2441,MOF,Molecular Future,344,
5221,HNS,Handshake,345,
7553,eRSDL,unFederalReserve,346,
1856,DNT,district0x,347,
3968,EUM,Elitium,348,
8917,SHFT,Shyft Network,349,
6193,CREAM,Cream Finance,350,
5060,XNC,XeniosCoin,351,
2765,XYO,XYO,352,
10188,ATA,Automata Network,353,
4134,AKRO,Akropolis,354,
4747,VLX,Velas,355,
1785,GAS,Gas,356,
7150,FLM,Flamingo,357,
8755,NRV,Nerve Finance,358,
7882,WOZX,EFFORCE,359,
